,iso,year,rank_eci,name
1306,KAZ,2013,93,Kazakhstan
1307,SYR,2013,61,Syria
1308,AUS,2013,82,Australia
1309,KHM,2013,86,Cambodia
1310,ALB,2013,78,Albania
1311,ZMB,2013,81,Zambia
1312,KGZ,2013,54,Kyrgyzstan
1313,UZB,2013,88,Uzbekistan
1314,KEN,2013,79,Kenya
1315,CMR,2013,118,Cameroon
1316,TTO,2013,49,Trinidad and Tobago
1317,PAK,2013,90,Pakistan
1318,QAT,2013,71,Qatar
1319,PER,2013,89,Peru
1320,NAM,2013,77,Namibia
1321,BWA,2013,84,Botswana
1322,ZWE,2013,87,Zimbabwe
1323,NIC,2013,99,Nicaragua
1324,UGA,2013,83,Uganda
1325,CIV,2013,102,Ivory Coast
1326,IRN,2013,95,Iran
1327,BGD,2013,100,Bangladesh
1328,MDG,2013,98,Madagascar
1329,TZA,2013,96,Tanzania
1330,TKM,2013,116,Turkmenistan
1331,ECU,2013,101,Ecuador
1332,VEN,2013,94,Venezuela
1333,TJK,2013,114,Tajikistan
1334,MOZ,2013,110,Mozambique
1335,BOL,2013,108,Bolivia
1336,LAO,2013,105,Laos
1337,GAB,2013,117,Gabon
1338,AZE,2013,106,Azerbaijan
1339,ETH,2013,107,Ethiopia
1340,DZA,2013,109,Algeria
1341,GHA,2013,97,Ghana
1342,MNG,2013,112,Mongolia
1343,MWI,2013,104,Malawi
1344,PNG,2013,121,Papua New Guinea
1345,COG,2013,113,Republic of the Congo
1346,MLI,2013,103,Mali
1347,LBY,2013,119,Libya
1348,MRT,2013,122,Mauritania
1349,YEM,2013,111,Yemen
1350,GIN,2013,123,Guinea
1351,NGA,2013,120,Nigeria
1352,AGO,2013,115,Angola
1353,JPN,2014,1,Japan
1354,DEU,2014,2,Germany
1355,CHE,2014,3,Switzerland
1356,KOR,2014,4,South Korea
1357,SWE,2014,5,Sweden
1358,AUT,2014,6,Austria
1359,CZE,2014,7,Czech Republic
1360,FIN,2014,8,Finland
1361,HUN,2014,9,Hungary
1362,GBR,2014,10,United Kingdom
1363,SVN,2014,11,Slovenia
1364,SVK,2014,12,Slovakia
1365,USA,2014,13,United States
1366,ITA,2014,14,Italy
1367,IRL,2014,15,Ireland
1368,FRA,2014,16,France
1369,CHN,2014,17,China
1370,DNK,2014,18,Denmark
1371,BEL,2014,19,Belgium
1372,MEX,2014,20,Mexico
1373,ISR,2014,21,Israel
1374,NLD,2014,22,Netherlands
1375,EST,2014,23,Estonia
1376,THA,2014,24,Thailand
1377,POL,2014,25,Poland
1378,MYS,2014,26,Malaysia
1379,ROU,2014,27,Romania
1380,ESP,2014,28,Spain
1381,BLR,2014,29,Belarus
1382,HRV,2014,30,Croatia
1383,NOR,2014,31,Norway
1384,LTU,2014,32,Lithuania
1385,LVA,2014,33,Latvia
1386,PRT,2014,34,Portugal
1387,BIH,2014,35,Bosnia and Herzegovina
1388,BGR,2014,36,Bulgaria
1389,CAN,2014,37,Canada
1390,PHL,2014,38,Philippines
1392,TUR,2014,40,Turkey
1393,UKR,2014,41,Ukraine
1394,IND,2014,42,India
1395,GRC,2014,43,Greece
1396,TUN,2014,44,Tunisia
1397,JOR,2014,45,Jordan
1398,NZL,2014,46,New Zealand
1399,RUS,2014,47,Russia
1400,URY,2014,48,Uruguay
1401,SLV,2014,49,El Salvador
1402,CRI,2014,50,Costa Rica
1403,BRA,2014,51,Brazil
1404,ZAF,2014,52,South Africa
1405,IDN,2014,53,Indonesia
1406,LBN,2014,54,Lebanon
1407,VNM,2014,55,Vietnam
1408,MDA,2014,56,Moldova
1409,MUS,2014,57,Mauritius
1410,EGY,2014,58,Egypt
1411,GEO,2014,59,Georgia
1412,COL,2014,60,Colombia
1413,ARG,2014,61,Argentina
1414,DOM,2014,62,Dominican Republic
1415,ARE,2014,63,United Arab Emirates
1416,MKD,2014,64,Macedonia
1417,JAM,2014,65,Jamaica
1418,CHL,2014,66,Chile
1419,GTM,2014,67,Guatemala
1420,LKA,2014,68,Sri Lanka
1421,OMN,2014,69,Oman
1422,KWT,2014,70,Kuwait
1423,SAU,2014,71,Saudi Arabia
1424,HND,2014,72,Honduras
1425,SEN,2014,73,Senegal
1426,PRY,2014,74,Paraguay
1427,MAR,2014,75,Morocco
1428,CUB,2014,76,Cuba
1429,KAZ,2014,77,Kazakhstan
1430,SYR,2014,78,Syria
1431,AUS,2014,79,Australia
1432,KHM,2014,80,Cambodia
1433,ALB,2014,81,Albania
1434,ZMB,2014,82,Zambia
1435,KGZ,2014,83,Kyrgyzstan
1436,UZB,2014,84,Uzbekistan
1437,KEN,2014,85,Kenya
1438,CMR,2014,86,Cameroon
1439,TTO,2014,87,Trinidad and Tobago
1440,PAK,2014,88,Pakistan
1441,QAT,2014,89,Qatar
1442,PER,2014,90,Peru
1443,NAM,2014,91,Namibia
1444,BWA,2014,92,Botswana
1445,ZWE,2014,93,Zimbabwe
1446,NIC,2014,94,Nicaragua
1447,UGA,2014,95,Uganda
1448,CIV,2014,96,Ivory Coast
1449,IRN,2014,97,Iran
1450,BGD,2014,98,Bangladesh
1451,MDG,2014,99,Madagascar
1452,TZA,2014,100,Tanzania
1453,TKM,2014,101,Turkmenistan
1454,ECU,2014,102,Ecuador
1455,VEN,2014,103,Venezuela
1456,TJK,2014,104,Tajikistan
1457,MOZ,2014,105,Mozambique
1458,BOL,2014,106,Bolivia
1459,LAO,2014,107,Laos
1460,GAB,2014,108,Gabon
1461,AZE,2014,109,Azerbaijan
1462,ETH,2014,110,Ethiopia
1463,DZA,2014,111,Algeria
1464,GHA,2014,112,Ghana
1465,MNG,2014,113,Mongolia
1466,MWI,2014,114,Malawi
1467,PNG,2014,115,Papua New Guinea
1468,COG,2014,116,Republic of the Congo
1469,MLI,2014,117,Mali
1470,LBY,2014,118,Libya
1471,MRT,2014,119,Mauritania
1472,YEM,2014,120,Yemen
1473,GIN,2014,121,Guinea
1474,NGA,2014,122,Nigeria
1475,AGO,2014,123,Angola
